epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5946,2.09273,4.00562,2.2885,0.00195,0.86957,0.03377,0.00873,2.48862,3.66515,2.96545,0.000468772,0.000468772,0.000468772
2,29.8169,1.99712,3.81652,2.19817,0.41355,0.07005,0.39821,0.08771,2.51459,3.83465,2.77524,0.000935749,0.000935749,0.000935749
3,42.2006,2.0735,3.64847,2.24915,0.39631,0.12802,0.11072,0.02378,2.63322,3.30122,2.95826,0.00139329,0.00139329,0.00139329
4,53.0179,2.02272,3.50928,2.28079,0.42213,0.04348,0.04279,0.01328,3.02515,3.78002,3.53994,0.00138656,0.00138656,0.00138656
5,62.9849,2.10906,3.47597,2.374,0.748,0.04348,0.03108,0.01009,2.87338,4.25628,3.31706,0.00137241,0.00137241,0.00137241
6,75.0146,2.01701,3.39359,2.29376,0.05834,0.19807,0.05789,0.01618,2.6344,4.63269,3.26329,0.00135826,0.00135826,0.00135826
7,86.3165,2.04903,3.38585,2.30685,0.00263,0.92995,0.01854,0.0047,2.80343,5.34178,3.26441,0.00134412,0.00134412,0.00134412
8,95.8829,2.00478,3.32214,2.28317,0.02642,0.04348,0.02736,0.00492,2.7647,3.77325,3.10917,0.00132997,0.00132997,0.00132997
9,107.759,1.96743,3.24548,2.24607,0.76699,0.05556,0.10348,0.03174,2.20671,3.61848,3.00815,0.00131582,0.00131582,0.00131582
10,119.969,1.93997,3.19768,2.20287,0.20245,0.157,0.12974,0.03462,2.4336,3.31005,2.72943,0.00130168,0.00130168,0.00130168
11,129.402,1.94165,3.07902,2.17426,0.07844,0.12802,0.11535,0.02311,2.66203,3.07209,3.12177,0.00128753,0.00128753,0.00128753
12,140.845,1.94105,3.01204,2.20853,0.5678,0.36232,0.18468,0.04591,2.49523,3.62357,2.87897,0.00127338,0.00127338,0.00127338
13,152.192,1.84376,3.00372,2.13126,0.09629,0.1256,0.07322,0.01929,2.47315,2.9649,2.87225,0.00125923,0.00125923,0.00125923
14,161.717,1.91247,3.00663,2.18468,0.81253,0.05556,0.0709,0.02559,2.39608,3.38468,2.87887,0.00124509,0.00124509,0.00124509
15,173.093,1.83828,2.89424,2.13654,0.31084,0.18966,0.21584,0.06241,2.35342,3.03712,2.82349,0.00123094,0.00123094,0.00123094
16,186.925,1.88434,2.80931,2.11246,0.53824,0.09903,0.12532,0.03151,2.5885,3.24571,3.00103,0.00121679,0.00121679,0.00121679
17,198.456,1.79013,2.77324,2.05792,0.13363,0.15459,0.13589,0.04841,2.4031,3.41435,2.84562,0.00120265,0.00120265,0.00120265
18,208.953,1.79553,2.72835,2.07341,0.12061,0.21256,0.14972,0.03617,2.37758,3.03504,2.73427,0.0011885,0.0011885,0.0011885
19,220.932,1.75377,2.59696,2.01629,0.19338,0.25604,0.15067,0.06607,2.41306,3.52342,2.8349,0.00117435,0.00117435,0.00117435
20,231.675,1.78819,2.51709,2.02601,0.17961,0.2539,0.14449,0.03897,2.50342,3.1204,2.88804,0.00116021,0.00116021,0.00116021
21,241.476,1.70541,2.58531,1.98962,0.22267,0.29469,0.2374,0.08732,2.49313,2.83358,2.86604,0.00114606,0.00114606,0.00114606
22,253.595,1.67508,2.55875,1.99488,0.19746,0.19807,0.22619,0.08006,2.37502,2.80258,2.83288,0.00113191,0.00113191,0.00113191
23,263.955,1.68369,2.4336,1.98821,0.66494,0.15459,0.22469,0.09477,2.40243,3.00703,2.8816,0.00111776,0.00111776,0.00111776
